cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien,day
95.83,Cielo cubierto,6,Este,101.44,20220529T00,20,103,16.8032,-96.6846,1,Oaxaca,San Antonino Castillo Velasco,4.35,95.0,15.79,24.72,14.94,7.52,2022-05-29
95.83,Cielo cubierto,6,Sur,158.56,20220530T00,20,103,16.8032,-96.6846,2,Oaxaca,San Antonino Castillo Velasco,38.36,95.0,34.65,20.39,14.83,8.67,2022-05-30
91.67,Cielo cubierto,6,Sureste,140.69,20220531T00,20,103,16.8032,-96.6846,3,Oaxaca,San Antonino Castillo Velasco,3.6,95.0,8.14,20.72,14.52,3.73,2022-05-31
95.72,Cielo cubierto,6,Este,80.35,20220528T00,20,107,17.0313,-96.6993,0,Oaxaca,San Antonio de la Cal,0.7,20.0,14.06,22.57,14.16,5.47,2022-05-28
95.83,Cielo cubierto,6,Sureste,117.02,20220529T00,20,107,17.0313,-96.6993,1,Oaxaca,San Antonio de la Cal,4.41,95.0,18.19,24.47,14.25,7.6,2022-05-29
95.83,Cielo cubierto,6,Sur,185.21,20220530T00,20,107,17.0313,-96.6993,2,Oaxaca,San Antonio de la Cal,29.93,95.0,32.23,18.98,13.82,8.19,2022-05-30
91.66,Cielo cubierto,6,Suroeste,224.68,20220531T00,20,107,17.0313,-96.6993,3,Oaxaca,San Antonio de la Cal,4.84,95.0,8.61,19.01,13.22,4.19,2022-05-31
93.02,Cielo cubierto,6,Este,81.37,20220528T00,20,127,17.2845,-97.5699,0,Oaxaca,San Cristóbal Amoltepec,0.98,95.0,17.7,23.18,10.15,8.72,2022-05-28
95.83,Cielo cubierto,6,Este,92.51,20220529T00,20,127,17.2845,-97.5699,1,Oaxaca,San Cristóbal Amoltepec,4.5,95.0,13.49,23.98,12.1,6.38,2022-05-29
95.83,Cielo cubierto,6,Este,72.55,20220530T00,20,127,17.2845,-97.5699,2,Oaxaca,San Cristóbal Amoltepec,3.71,95.0,15.73,20.29,11.85,6.35,2022-05-30
91.64,Cielo cubierto,6,Este,98.43,20220531T00,20,127,17.2845,-97.5699,3,Oaxaca,San Cristóbal Amoltepec,1.69,95.0,8.4,18.69,11.27,3.96,2022-05-31
95.82,Cielo cubierto,6,Suroeste,227.8,20220528T00,20,128,17.336,-96.165,0,Oaxaca,San Cristóbal Lachirioag,6.07,95.0,8.61,18.87,15.38,3.76,2022-05-28
95.83,Cielo cubierto,6,Sureste,128.91,20220529T00,20,128,17.336,-96.165,1,Oaxaca,San Cristóbal Lachirioag,9.92,95.0,6.97,20.48,15.8,3.1,2022-05-29
95.83,Cielo cubierto,6,Este,108.0,20220530T00,20,128,17.336,-96.165,2,Oaxaca,San Cristóbal Lachirioag,71.44,95.0,14.51,17.58,15.16,4.4,2022-05-30
91.67,Cielo cubierto,6,Suroeste,237.61,20220531T00,20,128,17.336,-96.165,3,Oaxaca,San Cristóbal Lachirioag,12.8,95.0,7.39,16.99,14.94,2.82,2022-05-31
95.79,Cielo cubierto,6,Este,71.44,20220528T00,20,145,17.0114,-96.5985,0,Oaxaca,San Francisco Lachigoló,0.44,95.0,12.66,21.21,14.22,6.43,2022-05-28
95.83,Cielo cubierto,6,Este,106.71,20220529T00,20,145,17.0114,-96.5985,1,Oaxaca,San Francisco Lachigoló,5.68,95.0,17.78,23.46,14.36,8.29,2022-05-29
95.83,Cielo cubierto,6,Sur,167.01,20220530T00,20,145,17.0114,-96.5985,2,Oaxaca,San Francisco Lachigoló,39.99,95.0,27.51,18.35,13.83,8.8,2022-05-30
91.67,Cielo cubierto,6,Sur,170.67,20220531T00,20,145,17.0114,-96.5985,3,Oaxaca,San Francisco Lachigoló,5.94,95.0,6.81,18.77,13.65,3.4,2022-05-31
95.71,Cielo cubierto,6,Noreste,44.39,20220528T00,20,146,16.3523,-96.378,0,Oaxaca,San Francisco Logueche,2.59,95.0,16.56,21.68,13.43,8.51,2022-05-28
95.83,Cielo cubierto,6,Este,78.94,20220529T00,20,146,16.3523,-96.378,1,Oaxaca,San Francisco Logueche,30.51,95.0,10.36,19.59,13.45,5.93,2022-05-29
95.83,Cielo cubierto,6,Sureste,151.48,20220530T00,20,146,16.3523,-96.378,2,Oaxaca,San Francisco Logueche,201.4,95.0,57.11,16.66,13.36,11.69,2022-05-30
91.67,Cielo cubierto,6,Sur,166.42,20220531T00,20,146,16.3523,-96.378,3,Oaxaca,San Francisco Logueche,11.38,95.0,5.29,18.65,13.78,2.62,2022-05-31
95.71,Cielo cubierto,6,Este,76.46,20220528T00,20,157,17.1008,-96.7626,0,Oaxaca,San Jacinto Amilpas,0.64,0.0,14.17,21.86,13.51,5.36,2022-05-28
95.8,Cielo cubierto,6,Este,111.33,20220529T00,20,157,17.1008,-96.7626,1,Oaxaca,San Jacinto Amilpas,6.45,95.0,16.07,24.54,13.96,6.65,2022-05-29
95.83,Cielo cubierto,6,Sur,183.6,20220530T00,20,157,17.1008,-96.7626,2,Oaxaca,San Jacinto Amilpas,27.91,95.0,31.67,18.84,13.65,7.98,2022-05-30
